category_id,category,sub_category,product_name,price
37,票券區,餐券、住宿、遊樂券,(新竹)六福村主題遊樂園全票(2張),1998
37,票券區,餐券、住宿、遊樂券,花蓮 遠雄海洋公園 雙人套票(全票2張+100元餐券2張),1980
37,票券區,餐券、住宿、遊樂券,(萬里白宮行館沙灘溫泉度假村)平日精緻海景溫泉房住宿券,9900
37,票券區,餐券、住宿、遊樂券,(台南)桂田酒店雅緻雙人房住宿含活力早餐(平日升等豪華三人房),7150
37,票券區,餐券、住宿、遊樂券,台北福華大飯店 4F花園大道(原羅浮宮) 美式自助餐吃到飽2張(可加價用晚餐及假日),1980
37,票券區,餐券、住宿、遊樂券,(國立故宮博物院)悠遊風景繪畫 俄羅斯普希金博物館特展(1張),350
37,票券區,餐券、住宿、遊樂券,(全台)老爺酒店集團聯合住宿券,10780
37,票券區,餐券、住宿、遊樂券,馥蘭朵烏來渡假酒店 1人大眾裸湯,1000
37,票券區,餐券、住宿、遊樂券,(淡水/台中/嘉義/花蓮)承億文旅四館通用住宿券,5500
37,票券區,餐券、住宿、遊樂券,(王品集團)王品台塑牛排餐券(4張)    ,5800
